,Ruby Waves: Sign. Wave Height,Ruby Waves: Max. Wave Height,Ruby Waves: Peak Wave Period,"Ruby Waves: Wave Period, T02",Ruby Waves: Mean Wave Direction,Ruby Waves: x-comp. of wave height vector,Ruby Waves: y-comp. of wave height vector,Ruby Waves: Wind speed,Ruby Waves: Wind direction
2020-08-13 00:00:00,1.6925549507141113,3.315570116043091,6.965441703796387,4.436513423919678,84.17678833007812,-1.6837571859359741,-0.1718025654554367,8.249589920043945,76.37611389160156
2020-08-13 00:30:00,1.7058347463607788,3.3418169021606445,6.946159362792969,4.437648296356201,83.79371643066406,-1.6957824230194092,-0.18448403477668762,8.169673919677734,77.58638000488281
2020-08-13 01:00:00,1.713188648223877,3.3556575775146484,6.927441596984863,4.455711841583252,83.64418029785156,-1.7026147842407227,-0.189714714884758,8.093618392944336,78.81967163085938
2020-08-13 01:30:00,1.7213066816329956,3.371476888656616,6.9117655754089355,4.458995819091797,83.59407043457031,-1.7105209827423096,-0.19210819900035858,8.26430892944336,79.3824462890625
2020-08-13 02:00:00,1.7365539073944092,3.4023656845092773,6.8976240158081055,4.435627460479736,83.56847381591797,-1.725587010383606,-0.1945839673280716,8.435946464538574,79.91976928710938
2020-08-13 02:30:00,1.750696063041687,3.430474281311035,6.883829593658447,4.430975437164307,83.61848449707031,-1.739810585975647,-0.19464915990829468,8.307650566101074,81.03092956542969
2020-08-13 03:00:00,1.7548091411590576,3.437523126602173,6.871822357177734,4.459161281585693,83.74748229980469,-1.744330883026123,-0.19118477404117584,8.18313217163086,82.17642211914062
2020-08-13 03:30:00,1.764547348022461,3.456794261932373,6.858859539031982,4.454702854156494,83.68515014648438,-1.7537899017333984,-0.19417327642440796,8.478506088256836,80.06584167480469
2020-08-13 04:00:00,1.7899587154388428,3.508319616317749,6.83892822265625,4.416857719421387,83.24132537841797,-1.7774457931518555,-0.21077197790145874,8.784920692443848,78.1022720336914
2020-08-13 04:30:00,1.815754771232605,3.559633493423462,6.814529895782471,4.405496597290039,82.54402160644531,-1.8003193140029907,-0.2357286512851715,8.87277889251709,76.21343231201172
2020-08-13 05:00:00,1.8369700908660889,3.6010279655456543,6.790593147277832,4.414029121398926,81.73799896240234,-1.8178296089172363,-0.26405662298202515,8.970766067504883,74.37091827392578
2020-08-13 05:30:00,1.8581888675689697,3.6421689987182617,6.769321918487549,4.426224708557129,81.10469055175781,-1.8357700109481812,-0.2874067425727844,9.13608455657959,76.21990203857422
2020-08-13 06:00:00,1.8850404024124146,3.6942365169525146,6.749865531921387,4.441137313842773,80.72859954833984,-1.8603479862213135,-0.3037799298763275,9.310665130615234,78.00023651123047
2020-08-13 06:30:00,1.91535222530365,3.7524056434631348,6.735710144042969,4.4711785316467285,80.54290008544922,-1.8892614841461182,-0.31477200984954834,9.40272331237793,79.591064453125
2020-08-13 07:00:00,1.9443085193634033,3.8073391914367676,6.736564636230469,4.511207580566406,80.51298522949219,-1.9176597595214844,-0.32051968574523926,9.502296447753906,81.14651489257812
2020-08-13 07:30:00,1.9772721529006958,3.8701181411743164,6.755100727081299,4.548335552215576,80.35090637207031,-1.9492392539978027,-0.331464558839798,9.687199592590332,79.74171447753906
2020-08-13 08:00:00,2.0232574939727783,3.9587502479553223,6.793545246124268,4.572022438049316,79.84821319580078,-1.991507649421692,-0.3566840589046478,9.87777042388916,78.3907241821289
2020-08-13 08:30:00,2.083867073059082,4.074681282043457,6.858831882476807,4.621203899383545,78.94819641113281,-2.045107126235962,-0.3996236324310303,10.119375228881836,76.47836303710938
2020-08-13 09:00:00,2.161116123199463,4.2204413414001465,6.951935768127441,4.723885536193848,77.69483184814453,-2.11130952835083,-0.4608146846294403,10.372361183166504,74.6575927734375
2020-08-13 09:30:00,2.2455573081970215,4.3790693283081055,7.068572044372559,4.832183361053467,76.4513168334961,-2.1828994750976562,-0.5263242125511169,10.31416130065918,75.05725860595703
